id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,node,percentage
0.0,1.6042343706575518e-08,0.0,3.208465752052267e-08,0.0,0.0,0.0,8.582520487387514e-07,9.22413842709405e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.940897824510226e-07,0.0,7.940897838475778e-07,0.0,0.0,2.4063527713160092e-08,8.10130457867838e-07,1.6685939386564463e-06,0.0,8.0211759043867e-09,411,20
0.0,1.6220591969981912e-08,0.0,3.244115371519514e-08,0.0,0.0,0.0,1.3787400910195951e-07,2.0275512871558842e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.299241187605151e-08,0.0,7.299241328826363e-08,0.0,0.0,2.4330900243306316e-08,8.921292124768482e-08,2.2735670456023667e-07,0.0,8.110300081102109e-09,214,20
0.0,6.575918984677384e-09,0.0,1.3151832396542068e-08,0.0,0.0,0.0,4.603131262146519e-08,6.57589444196014e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9727740282429094e-08,0.0,1.9727740282429094e-08,0.0,0.0,1.972775695403215e-08,5.2607228668329016e-08,7.233483166722955e-08,0.0,6.575918984677384e-09,283,20
0.0,6.63570006635627e-09,0.0,1.3271394509237904e-08,0.0,0.0,0.0,7.763721414211219e-07,7.962771246291233e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9907083375905722e-08,0.0,7.498320999667577e-07,0.0,0.0,1.9907100199068806e-08,5.308547620167746e-08,8.029121291031075e-07,0.0,6.635700066356269e-09,107,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542,20
0.0,1.640284581234126e-08,0.0,3.280566106030969e-08,0.0,0.0,0.0,8.693362202553069e-07,2.0503327622924672e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.381255133533298e-08,0.0,7.381255276341265e-08,0.0,0.0,2.46042811449165e-08,8.201332993890818e-07,2.2994415531668142e-07,0.0,8.201427048305504e-09,518,20
0.0,1.1449771171571868e-07,0.0,1.8605809388443438e-07,0.0,0.0,9.732086987134025e-07,2.2950781671893885e-06,2.7491230876213928e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.102002455237743e-06,1.4312294260768424e-08,4.007361958116996e-07,2.862456201728822e-08,0.0,1.7174618393560677e-07,1.3559023101974598e-06,7.203206841107908e-06,0.0,1.431229426076843e-08,324,20
0.0,1.824800647363772e-07,0.0,2.654245307675651e-07,0.0,0.0,3.1519109647398837e-07,1.7978071623501695e-06,2.2425290229627476e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275428685414603e-06,3.31784657708435e-08,1.244129981798846e-06,3.317846961094771e-08,0.0,1.9906944047081697e-07,7.757371693300125e-07,3.4801187550972312e-06,0.0,1.6589250165890686e-08,488,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1868727040224122e-08,1.1868727040224122e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.299270072991896e-07,0.0,7.299270072991896e-07,0.0,0.0,1.7803097739004627e-08,2.9671810575036786e-08,5.934365913001542e-09,0.0,5.934365913001542e-09,376,20
0.0,1.6589241787481496e-08,0.0,3.3178452663267746e-08,0.0,0.0,0.0,1.493019759563639e-07,2.0736319982276088e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.465133032777996e-08,0.0,7.46513317720878e-08,0.0,0.0,2.4883875248836005e-08,9.953501020522115e-08,2.3259102759973799e-07,0.0,8.294625082945338e-09,237,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,20
0.0,7.493897711921316e-07,0.0,7.68852498818978e-07,0.0,0.0,7.883151528633718e-07,1.035104632706863e-06,3.444996279361885e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.467029396214253e-07,0.0,8.661654245112285e-07,7.299270072991896e-07,0.0,5.839401243782737e-08,1.8491301364690172e-07,4.355036952661393e-06,0.0,9.73236009732253e-09,420,20
0.0,2.8254929533444395e-07,0.0,4.2382169909520234e-07,0.0,0.0,4.944574451590577e-07,1.6524174403603136e-06,2.3573050552047525e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.862771790218468e-07,4.709201593281012e-08,8.240855880639084e-07,4.709202138328061e-08,0.0,2.825501735714823e-07,1.172272240837358e-06,4.612773919744773e-06,0.0,2.3546032493522263e-08,451,20
0.0,7.550942117744268e-08,0.0,8.557631234248533e-07,0.0,0.0,1.761876830261249e-07,2.1062152203117378e-06,2.3010707644723866e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.941809591308874e-07,0.0,1.019347640649848e-06,1.2584948401710166e-08,0.0,1.3843349502019994e-07,1.2300394243129939e-06,3.5445766993828464e-06,0.0,1.2584948401710173e-08,519,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.299270072991896e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.298982700154928e-08,0.0,0.0,0.0,242,20
0.0,6.696578048616419e-09,0.0,1.3393150422166693e-08,0.0,0.0,0.0,5.3572459296366216e-08,7.366204772660225e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0089717168345223e-08,0.0,2.6786276953582404e-08,0.0,0.0,2.0089734145849254e-08,5.3572498919124045e-08,8.035858736806939e-08,0.0,6.696578048616419e-09,558,20
